sp|Q4QH08|ASNA_LEIMA,sp|O14763|TR10B_HUMAN,29.55,3.8
sp|Q4QH08|ASNA_LEIMA,sp|Q14643|ITPR1_HUMAN,42.86,4.0
sp|Q4Q9X8|ATAT_LEIMA,sp|O14727|APAF_HUMAN,20.14,0.85
sp|Q4Q9X8|ATAT_LEIMA,sp|P36507|MP2K2_HUMAN,30.16,1.6
sp|Q4Q9X8|ATAT_LEIMA,sp|Q14643|ITPR1_HUMAN,42.86,2.4
sp|Q4Q9X8|ATAT_LEIMA,sp|Q9UBR2|CATZ_HUMAN,18.31,3.7
sp|Q4Q9X8|ATAT_LEIMA,sp|Q9BQE3|TBA1C_HUMAN,22.34,4.9
sp|Q4Q9X8|ATAT_LEIMA,sp|Q6PEY2|TBA3E_HUMAN,19.57,6.8
sp|Q4Q9X8|ATAT_LEIMA,sp|Q13748|TBA3C_HUMAN,19.78,7.3
sp|Q4Q9X8|ATAT_LEIMA,sp|P68366|TBA4A_HUMAN,29.63,8.3
sp|Q4Q9X8|ATAT_LEIMA,sp|P68363|TBA1B_HUMAN,19.78,9.0
sp|Q4Q9X8|ATAT_LEIMA,sp|Q92851|CASPA_HUMAN,40.91,9.7
sp|Q4QH39|BOP1_LEIMA,sp|O14727|APAF_HUMAN,35.90,0.005
sp|Q4QH39|BOP1_LEIMA,sp|O14727|APAF_HUMAN,35.29,0.039
sp|Q4QH39|BOP1_LEIMA,sp|O14727|APAF_HUMAN,30.77,0.089
sp|Q4QH39|BOP1_LEIMA,sp|O14727|APAF_HUMAN,26.00,0.23
sp|Q4QH39|BOP1_LEIMA,sp|O14727|APAF_HUMAN,35.29,1.5
sp|Q4QH39|BOP1_LEIMA,sp|Q14571|ITPR2_HUMAN,32.56,1.4
sp|Q4QH39|BOP1_LEIMA,sp|Q14571|ITPR2_HUMAN,42.86,4.0
sp|Q4QH39|BOP1_LEIMA,sp|Q14573|ITPR3_HUMAN,30.23,3.6
sp|Q4QH39|BOP1_LEIMA,sp|P01100|FOS_HUMAN,27.06,3.9
sp|Q4QH39|BOP1_LEIMA,sp|Q14643|ITPR1_HUMAN,30.23,4.2
sp|Q4QH39|BOP1_LEIMA,sp|Q15628|TRADD_HUMAN,40.00,6.1
sp|Q4QH39|BOP1_LEIMA,sp|Q02750|MP2K1_HUMAN,37.04,9.3
sp|Q4QDX3|CISY_LEIMA,sp|P05412|JUN_HUMAN,39.39,0.62
sp|Q4QDX3|CISY_LEIMA,sp|Q9UBR2|CATZ_HUMAN,28.00,2.8
sp|Q4QDX3|CISY_LEIMA,sp|P02549|SPTA1_HUMAN,33.33,2.9
sp|Q4QDX3|CISY_LEIMA,sp|P02549|SPTA1_HUMAN,25.76,6.3
sp|Q4QDX3|CISY_LEIMA,sp|P04629|NTRK1_HUMAN,45.45,4.1
sp|Q4QDX3|CISY_LEIMA,sp|A6NHL2|TBAL3_HUMAN,40.74,6.7
sp|Q4QDX3|CISY_LEIMA,sp|Q14571|ITPR2_HUMAN,28.95,8.8
sp|Q4QHN2|COQ4_LEIMA,sp|O00329|PK3CD_HUMAN,28.26,2.8
sp|Q4QHN2|COQ4_LEIMA,sp|Q92934|BAD_HUMAN,32.00,6.3
sp|Q4QHN2|COQ4_LEIMA,sp|P09874|PARP1_HUMAN,25.00,6.3
